Classes: 0 - under 24 ppm	1 - in between	2 - above 24 ppm	
Correct Predictions: 11/30
Class 0 - Predicted: 10/10
Class 1 - Predicted: 1/10
Class 2 - Predicted: 0/10
Confident predictions (confidence over 90%): 0
Predictions with confidence under 50%: 13
Class	Prediction	Confidence
  1  	    0     	  0.619   
  1  	    0     	  0.578   
  1  	    0     	  0.618   
  0  	    0     	  0.735   
  1  	    1     	  0.838   
  2  	    0     	  0.417   
  0  	    0     	  0.727   
  2  	    0     	  0.490   
  0  	    0     	  0.713   
  0  	    0     	  0.750   
  1  	    0     	  0.539   
  2  	    0     	  0.462   
  2  	    0     	  0.507   
  1  	    0     	  0.600   
  0  	    0     	  0.712   
  2  	    0     	  0.496   
  1  	    0     	  0.615   
  2  	    0     	  0.542   
  2  	    0     	  0.485   
  0  	    0     	  0.694   
  2  	    0     	  0.520   
  0  	    0     	  0.721   
  2  	    0     	  0.518   
  1  	    0     	  0.612   
  1  	    0     	  0.534   
  2  	    0     	  0.439   
  1  	    0     	  0.602   
  0  	    0     	  0.733   
  0  	    0     	  0.706   
  0  	    0     	  0.735   
