Classes: 0 - under 24 ppm	1 - in between	2 - above 24 ppm	
Correct Predictions: 26/30
Class 0 - Predicted: 10/10
Class 1 - Predicted: 6/10
Class 2 - Predicted: 10/10
Confident predictions (confidence over 90%): 18
Predictions with confidence under 50%: 5
Class	Prediction	Confidence
  1  	    0     	  0.678   
  1  	    0     	  0.579   
  1  	    1     	  0.654   
  0  	    0     	  0.944   
  2  	    2     	  1.000   
  2  	    2     	  0.998   
  1  	    1     	  0.713   
  2  	    2     	  0.924   
  2  	    2     	  0.999   
  2  	    2     	  0.997   
  0  	    0     	  0.987   
  0  	    0     	  0.814   
  1  	    0     	  0.832   
  2  	    2     	  0.996   
  1  	    1     	  0.724   
  1  	    1     	  0.586   
  2  	    2     	  1.000   
  2  	    2     	  0.999   
  1  	    0     	  0.592   
  0  	    0     	  0.986   
  0  	    0     	  0.989   
  1  	    1     	  0.573   
  2  	    2     	  0.998   
  0  	    0     	  0.839   
  1  	    1     	  0.539   
  0  	    0     	  0.986   
  0  	    0     	  0.978   
  0  	    0     	  0.988   
  2  	    2     	  1.000   
  0  	    0     	  0.986   
