Classes: 0 - under 24 ppm	1 - in between	2 - above 24 ppm	
Correct Predictions: 27/30
Class 0 - Predicted: 10/10
Class 1 - Predicted: 7/10
Class 2 - Predicted: 10/10
Confident predictions (confidence over 90%): 19
Predictions with confidence under 50%: 1
Class	Prediction	Confidence
  0  	    0     	  0.961   
  2  	    2     	  0.999   
  0  	    0     	  0.992   
  1  	    0     	  0.630   
  2  	    2     	  1.000   
  0  	    0     	  0.773   
  2  	    2     	  0.999   
  1  	    1     	  0.941   
  0  	    0     	  0.983   
  1  	    1     	  0.633   
  2  	    2     	  0.999   
  2  	    2     	  0.997   
  1  	    1     	  0.445   
  2  	    2     	  0.999   
  0  	    0     	  0.993   
  0  	    0     	  0.936   
  0  	    0     	  0.989   
  1  	    0     	  0.603   
  1  	    1     	  0.610   
  0  	    0     	  0.896   
  2  	    2     	  1.000   
  2  	    2     	  0.999   
  0  	    0     	  0.991   
  1  	    0     	  0.774   
  1  	    1     	  0.689   
  1  	    1     	  0.607   
  2  	    2     	  1.000   
  2  	    2     	  1.000   
  0  	    0     	  0.994   
  1  	    1     	  0.704   
